,business_id,date,review_id,stars,text,type,user_id,cool,useful,funny
1919,WM8sy8FjrU3PpxN_NI02ZA,2012-03-16,fUPyltvyHqgmzftT4VhWvA,1,D-scust-ing.,review,SGXahHRReksq3m_Zk9V20w,0,1,0
1921,zRqU9_TTVNSo9d23fL8qgQ,2012-10-01,fjAbI8cUVaEFoe-vGnFwow,1,"Walk the other way, just walk right the hell the other way...

Here was how this played out.  Oktoberfest a few days ago.  Starting the night off.  I walk past this place and see a place that sells a slice of pizza for $1.99.  Good, right?  No.  

me: ""Hi, one slice of pizza please""
guy: ""you buy drink with it, 4 dollars.""
me: ""no, just one slice of pizza""
guy: ""we do not sell one slice, you have to buy a drink.  4 dollars""

I should have pulled a flag on this play at this point, but knowing I was going to be drinking I move forward wanting food in me. Not a wise move.

me: ""so, I can't buy one slice?""
guy: ""no, you buy a drink with slice, 4 dollars.""
me: ""It doesn't say that anywhere on the menu or walls""
guy: ""No, do not sell one slice.
me: ""what the... O.K., give me 2 slices of pizza""
guy: ""you buy two slices then.""
me: ""yes, Jesus Christ, yes""
guy: ""toppings?""
me: ""no, no toppings.  cheese.""
guy: ""we have toppings.""

what is this guy, fucking deaf? 

me: ""no thanks""

I give him the money.

guy: ""it take 10 minutes, you wait.""

I don't think they run the air conditioner in this place, so I wait outside.

Pizza comes out.  Tastes like absolute crap.  I eat it outside because in September in Chandler Arizona it is cooler outside then inside this place.  I think they had the thermostat set to ""HELL"" Guy working or running the place comes outside and stares me down as I am eating.  I'm sure if you want to eat here you can check the dumpster for plenty of slices to try beforehand to avoid having to pay for one.  Excuse me, avoid having to pay for two.  However after what I had served to me I'm pretty sure they will beat you to the garbage cans and sell it back to some other unsuspecting soul.  I was the only one dumb enough to finish all the food.  Wouldn't eat here if there was a natural disaster and this place was the last to be ransacked for provisions.  I'd keep walking.

FAIL.",review,KgnQz4WFT892AXmimnP4jg,0,2,2
1923,mKtHJOe1rtf-zGewKpAqrw,2012-12-07,GkoBNcDM_08BNCWTRuoD3A,1,I love how all other Yelpers reviewing this company have discovered the same issues that would never permit me to use their services again. Company is a disaster and should be reported to the BBB.,review,Jr11o_s3zIkKtOM8a8H8rw,0,1,0
1924,gkv2XvXpFgiq4Bb2XK7YmQ,2012-02-14,ldOnZ0of0M2MrR2EQTqX7g,1,"if you like terrible service and overpriced food you've come to the right place.  If I knew before I went in there I would be paying $16.00 for macaroni and cheese, and had the pleasure of waiting around for an hour to get it, while my glass remained empty, I would've stayed away (which is what you should do).  Food wasn't awful, although 2 members of the party did cut up their mouths eating the hard as a ""Rock"" bread on their sandwiches. The mac n' cheese was nothing special.  The service was beyond poor.  First and last time I will eat at Hard Rock Cafe.",review,JEHGgY_fGtRCXur03C9fQQ,0,1,0
1930,i41M_To0DAxuzZIGvU1wyg,2008-05-31,wPa3peOXdMf6LYnfskFUYg,1,"Mediocre, bland, low quality food topped off with painfully slow service.  I worked in the neighborhood and continued to return occasionally ""just in case it's gotten better"", for reasons I could never fathom once the plate of abysmal food was placed on the table.  The salsa and rice are usually good, but that's the most I have to offer.",review,YMB29SPB8Z_a2be4O5gxOg,2,3,3
1931,r3r_bAfa6pZKIhQB82FizQ,2010-09-26,6WZ9XwBdRXQi-AH3V4lHVg,2,"We came here on a Friday night. My husband ordered a dirty martini and it was so dirty, it came out looking like a glass of olive juice with some grenadine in it - it was actually red - WTH? It was the first time in his life he had sent something back. The waitress was cool about it though. She had to be, she has eyeballs too. We ordered the mozzarella and heirloom tomato appetizer. It was ok, nothing special. I have a pet peeve though - if you say heirloom, I expect heirloom and heirloom tomatoes, they were not. If they are not in season, that's fine, but tell people when they order. Then, we had the cannelloni special with sausage sauce. Again, nothing special. Here's the kicker - they charge for bread (not special bread, just plain ol' bread) and for parmesan cheese to put on top of your pasta!!! In fairness, they do give you one piece of bread with your pasta, but if you want any more, you are paying $3. Let's be serious - the name of the restaurant is Pasta Bar and you charge for grated cheese?? That's like going to a sushi restaurant and paying for soy sauce or a burger place and paying for ketchup. The cheese actually on the menu as a side. Are you kidding me? We're not talking special grated cheese. It looked like the stuff from a green shaker bottle. I wanted to add some salt to our appetizer, but there was none on the table. I didn't ask for any because I was afraid they'd charge for that too. I'm actually surprised they didn't have it on the menu as a side. We won't be going back.",review,z2QYfopPGuL2h9mJ1icrJQ,0,1,1
1948,fMcI0fOLmUwSvgVCmGA9Rg,2012-02-13,DygrWmhDiuxZbnXqOxnT4Q,2,"5 Stars for the delicious food & flavors. 

No stars for the tired, drab & dusty interior. Very disappointed. Needs a complete interior update overhaul and face lift. 

The food is great quality, but their portions are monumental, and rather unappetizing with the amount of food on the plate--although this could be appealing to others of a unsophisticated palette. 

Quite disappointed, but gracious that the quality of meat was outstanding.",review,eSbl3Q1HxQuZTmu5dqpn-g,1,1,1
1950,hoDG7g0Qxqje0dP_7MqpHQ,2010-08-15,pgOrQ_YAcauscW-bWmwOlQ,2,"The place was pretty busy when my husband and I visited one night. 
The decor was ok but very kitschy.
My husband and I split the pear salad although the pears were the ones out of a can. 
The special that night was beef cheeks which if you are familiar and like them, they can be amazing. But I could barely find them on the plate because they were drowned in a heavy overpowering sauce.
My husband had the lasagna which was decent and I honestly had more of that then my entree.
For what we had, it was totally overpriced. I could imagine Olive Garden would be just as good.",review,pvkLLX9n2hanP9QfHex6pQ,0,0,0
1963,z7W0sUbrVi2k6R2BR5jtzw,2012-01-19,SMTjk42KnUfJn1vLh8Y_eA,1,Prices are often way too high!,review,XqDh0QDMoMAaBvJcakze5A,0,0,1
1966,7lbvsGKzhjuX3oJtaXJvOg,2012-08-13,Nr-6xqBN9XqBJXnCToYYKA,1,"I brought my sweet sister in law shopping at this Forever 21 location.  She had a bag full of goodies (several hundreds of dollars worth) from H&M.  She stopped at Forever 21 and  sat her bag on the ground right beside her while she tried on a pair of shoes.  Her H&M bag was stolen during that brief moment that the bag was not in her arms.....and while this certainly was not the responsibility of Forever 21....we were so disappointed in the way the Forever 21 staff reacted. They did not call security, or the police, or even offer any condolences.  They just shrugged their shoulders.  My sister in law did love some of the fashions at Forever 21....but the store was such a mess.  There were clothes all over the floor under each and every rack.  There were way too few staff members working, and many who were working were ""socializing"" with one another instead of helping customers or maintaining the store inventory in a decent fashion. The only employees that were on task were:  1 at the checkout, and 1 at the fitting rooms - there was a band of 5 girls dressing one mannequin while the store was amidst in chaos (including someone stealing bags from other customers)..... So - if you choose to shop at this store - hold on to your bags :)",review,2UPPp-p0Yk7l56o75ZCIBg,0,0,17
1970,GpK9MeUjEd7rwhejG2ykww,2011-10-02,rl1D3Hsc4jwsEauUmAv-jA,2,"So you already know it's a 50's diner with outdoor seating, and we're in the time of year now where sitting outside late night is nice especially after the club. I've come here a lot with friends late night, and the food was always scrumptious and service excellent, but after last night I MUST PROTEST.

I ordered the Bourbon BBQ Wings, a promising title appealing to my tastes exactly. They arrive with a generous bowl of ranch and a few stalks of celery. I know most people don't eat the celery, maybe that's why, so I guess carrots were out of the question.

THE WINGS WERE FROM BABY CHICKENS!!!
I was shocked. some of them (both sections) were not 1.5 inches long, I swear. The sauce was yummy BUT I'M ANGRY ABOUT THE WING SIZE!!!! 

Come on 5& Diner, you're better than Long Wong's, ACT LIKE IT and serve up goodness on all fronts!
(See my scathing review on them as well.) I want so much to write a glowing review here but NO.

So my friend got the Southwestern eggrolls. They were sliced open diagonally and nicely presented on the plate. I tried one, and eventually my friend let me have the last 2. They were hard and irritating to eat, and tasted fine for tourists as it reminded me of Rubio's or Arriba's standard. I think Jack In The Box could've put out a better product overall.

Another friend got the chicken quesedilla.
Although I didn't taste it, presentation looked nice with the pico and guac on the side. The quesedillas were a good size and thickness. My friend took half of it home.

I can recommend the burgers, onion rings, and breakfasts.

Prices went up a couple of years ago to an average $9.49 for a burger plate, and slightly less for appetizers and other things. Service is always good, but don't go if you're in a hurry and the place is packed.

BOTTOM LINE.... choose wisely. Last night I chose.... POORLY.",review,zGz5NI4sscO4_6YYH-qVtA,0,0,0
1972,9Y3aQAVITkEJYe5vLZr13w,2010-05-28,7NHcsID9ZTebvaxm5NumoA,2,"I recently went to The Breakfast Club for the first time with a good friend who I hadn't seen in awhile. It was a weekday and so, while it was still busy, we didn't have to wait to be seated. The food was good, but slightly over-priced. My biggest problem with the restaurant - the service. They were slow to deliver our drinks and food, yet once our food came, they were swarming around like bees every five minutes to take our plates so we could get out of there. I felt like they didn't care at all for the fact that I was having a nice morning with a good friend but instead wanted us to pay and leave. After we had been there for just over an hour and fifteen minutes, out waitress actually told us to leave the table and finish our conversation outside so they could seat other customers. We were mortified. I have NEVER been asked to leave a restaurant in my life. Needless to say, they didn't win a loyal customer with me.",review,X0V2GK2cr2lDzttQKXD4JQ,0,0,0
1976,52QtjHlHoa7V611bOvv1aw,2009-05-15,wsL6xjTh8VTpDH1e85pwfw,2,"Just not a great Sushi Roku location.  The service was okay and the ambience was too - but the food wasn't fabulous and the sushi chef knew very little of the food he was serving.  When sitting at the sushi bar in a 'fine dining' japanese restaurant you kind of expect the chefs to be spot on and knowlegable about the food.  Not the case here.  If you want to spend this kind of money, go to Roka Akur - it's fantastic and worth every penny.",review,Eo0o6m0gKBMgmooN_ZeFGw,0,0,0
1989,EzAen1_nwVuiWPKBj9HUpQ,2010-11-05,6oFiNU-pzlmkCtbTlkazFw,2,"Nothing spectacular about the food...service was good and the fruity adult beverages/margaritas were tasty. Somehow, between 2 people, we ended up spending close to $50. We thought the waitress was being friendly, but after ordering drinks, it seemed like all she wanted to do was sell us more random crap to get a bigger tip. 
It was a nice change to see hockey on the big screen...",review,5j7qmDZTAetaH0yXFnAFyw,1,0,0
2009,V7Da92RVtaWGTL6GNkPT8A,2010-06-04,HOeqfwT3dhxxxBoWi6CETg,2,"Stayed for a few days. Was not impressed. I prefer Marriott, but was not available. The room was clean and check in was good. The pool and fitness center sucked. I had dinner in the restaurant, a hamburger. It was good. Over all downtown Phoenix sucks, nothing to do after 6PM.",review,Bq6IP1DqzchTmpePXnOfvA,0,1,0
2011,luCSjoNQ9q_0QIjKKOy2pQ,2012-06-21,5OS9zcOMFxDHemh5VIzIyQ,2,Beer Selection 10/10 however service is 1/10. Staff lacks product knowledge. Specials are not mentioned. Wait time is long. Staff makes you feel like they are doing you a favor by taking your order.,review,-2jevGd5B6dqAT7AwBW6lA,1,0,0
2028,sAwxt4I4gTiL-08nyarJbg,2011-05-02,8BiDORbHvGzhrPGbVKiTEQ,2,"Get the White Chocolate but leave the Strawberries and Cream flavor, too faux-berry/chemical tasting.",review,7z6uuJ3fuaurG4dmdGidJw,2,3,2
2030,cU6u5Plu0fD2fIvLig7z1Q,2009-02-21,_7hvqxBUo009MXtcBnE4AA,2,"Had a couple of happy hour apps here, all flavorless. Bacon wrapped scallops: bacon undercooked, scallop overcooked.  Seared Ahi Tuna:  flavorless.  Pork sliders:  Not bad, but not memorable. Service was good. Go to Tutti Santi in the same mall instead.",review,WnrKtdSeJhh_H1XM3oOXgg,0,0,0
2036,NDKkce5Au-o_OhIt5f2ZBg,2008-09-28,mbWqhyCAB9kb9VS837WPMA,2,"Jewish girls in Chinese dresses serving Japanese food. If that isn't a recipe for confusion, I don't know what is.

Too bad, really. Because when they first opened up, they had a real Japanese chef who had a respectable career and was trying to make actual Japanese cuisine. He naturally didn't last long in this 1980s pseudo-asian theme park environment. Remember when the owner used to intermittently drop the screens down and fire up the THX system and play movie trailers from last year? The chefs couldn't even see their hands. Now that's setting your priorities!

Happy hour and late night patio is this place's saving grace (for others, not for me). But it's so far from Japanese food/sushi as to make them guilty of false advertising. See my Stingray review for a similar take on the food experience. If you FAIL rice, you FAIL sushi.",review,5kJYTUtFUJT24dWNs6eW8w,5,5,6
2042,FGePlnlKXHxBrxYMNGtdAw,2009-06-23,_q3Mrk2eZpVREwmTle635Q,2,"Five bucks for a bottle of Miller Lite says pretty much everything you need to know about this place.

Also, if you are planning on attending a show here, plan on paying for parking.

I have seen some terrible sound guys here, but it's hard to say if that is the fault of the Marquee - a lot of bands that would play here tour with sound people.

The majority of the problems here are problems with venues of this size everywhere in the country - the parking, the over-priced shitty beer, the strip-search upon entry, the lack of re-entry.

Still, if there was any competition for a venue in that part of the Valley that could handle bands that are as popular as the bands that play at the Marquee, they'd be hard-pressed to do a less-enthusiastic job of it.

Also, the sloped floors make it easier to see a band from further away, but they also can KILL your back.",review,d2RAl63RTdfZF7kcuKcj-g,2,2,2
2046,MAXKQMjuOQ17EAbKoTfUwQ,2010-12-06,LV_EtbE7K_5zZ6-XU1pHkQ,1,"The absolute worse service I've encountered. My boyfriend, son and I sat at a tepan table, we were ignored for a good 15-20 minutes until my boyfriend had to ask the manager to please have someone get us something to drink. Once we had our drinks, it took another 20 minutes to order our food. By that time, another family sat at our table. My son & boyfriend ordered a meal from the tepan menu, I had sushi. Everyone on that table got their meal and I still didn't get my sushi. I asked the server to please bring it and she brought someone else's order, I had to wait another 20 minutes for my sushi. The family on our table were so upset for us as well. 

The food is excellent, the service is so poor I am disappointed. I advise anyone who comes here to sit at the sushi bar and deal with the Chefs, they are great. I talked to the owner and she was just as bad as the servers. 

I then gave it another try. I met my girlfriends there. We had dinner, spent over $200. We then moved over to the bar area and were completely forgotten about. We asked the manager/owner to please have someone come take care of us and we were told that they were concerned because we were drinking and had kids with us. One of my girlfriends had her kids but she was not drinking. I was offended that she tried to cover up the poor service with her so-called concern. 

Again, food is great service is lousy. I am so disappointed and will not go back. I will look elsewhere for my Caliente Rolls. I hear Blu at the Wigwam is really good and servers are hospitable.",review,FmBpiDp6KMjlP3mKKp8vGA,0,1,0
2051,nInabwjYRoTe8nc6X_dYkg,2011-11-18,apRnl5ZS2FvbehoqSuOTqg,1,"Sadly with new owners comes changes on menu.  My fav Barbecue chicken salad
no longer has a hint of the same taste. It should now be called flavor of tomato. 
 Also sad to find out that the most outstanding veggie sandwich now tastes like it comes from another country. Again not a single hint of similarity of same flavor. Im sure many people will love these new changes.  Yet, Im sad it's not the same. I woke up today dreaming about the old veggie sandwich! No joking!!!!!!!!!",review,LxgdyviWGbgvVp_L0DABpg,0,0,0
2054,rLv5DPLnO67TCHIbbBWYPA,2012-11-13,G-aG9nPvovalTDJAFqZNPQ,2,"I am from NYC and have been in Phoenix for a few months! This Native NY'er is within walking distance from my hotel. I've been going their for about two months on Friday and Saturday nights for food, drinks and the karaoke. The food was OK, the drinks specials were good and the service was also good. The problem is that when a confrontation erupted at the bar the staff did not respond quilckly to notify the police. So, I ended up geting injured and when I asked them to call the police the did not, I had to. And after the episode they said they hoped It would not affect me not coming back again! Not even a comp or something! Just an I'm sorry what happened! I will not be returning at all. I looked over my nine charges on my statements and seen I had spent over $300 their. There loss!",review,oanHCNCLByQdW_TIgJKzjg,0,0,1
2056,j0mNAIzwRH1QHTuMQaYX1g,2012-02-15,4n23hhnN38BXQna8DynvWQ,2,"So I am an occasional shopper here at this market.. for a few reasons: we love their in-house made corn tortillas; they have a good selection of mexican treats (Bimbo breads and coconut bars) and if I'm buying conventional produce, their prices can't be beat.  Also, their pan Bolillo is really good and cheap and their cakes (3 Leches) are pretty damn good.

OK, so here is where the minus comes in.. the BIG minus.
My husband and I used to go occasionally for breakfast (I'd usually order simple, straightforward things like carne asada tacos.. don't get much simpler than meat in a corn tortilla).. well, the last time we did this, I found my meat... ready?... wait for it... to be the color blue and purple.  I had brown meat, but I had pieces of it that were blue and purple... no effin' joke.  I thought it was a trick of the eye, but I closely examined it and ... sho'nuff, that shit was blue and purple.  I immediately threw away my dish and never have I since ordered meat from their kitchen side.

That being said, I've also become more cautious in buying meats here... not to sound like a snob, but you bet I'm not buying my next cut of beef here!  I'm cool with their breads and their cakes and tortillas and such, but if it comes to meat, I'm out the door.

I much prefer Pro's Ranch Market - the REAL Ranch Market.",review,A99dyhEqcd_yXKPfBWeZHA,0,1,2
2060,WV2UObiT3EknPaAvo1GVYg,2010-01-15,9XwL2ENfB_1wS2xXrZgMwg,1,This place is closed.  Good riddance.,review,bkRfY8jHdFxf7k8vLX4buA,0,0,0
2075,Gl4TouO2_CCz2nFPS9fGlA,2012-09-06,POIrOqAbF51D21TSelUQHw,1,"Bad shop, rude owners. Pro-tip: If you want to ""enhance"" the Phoenix community you could start by not playing music loudly when it's obvious that there are musicians trying to perform their sets that people paid to see at the well-respected venue next door.",review,yETtApEyYQAmUQVOBgUjhw,0,3,2
2081,u_F86yMy2iOVQXhLJoxj2A,2009-10-06,2BmDTRmjKp5YEQdm5dLA_g,1,"Pure Fitness as a whole I like. No contracts, the people going there are actually there to work out and not to be seen, (ex. LA Fitness). Plus you get complimentary training sessions. However, this location I will NEVER return to and its all because of their new GM Adam. I had a free pass and he was the one that I had been assigned to for my fitness test and 1st training session. I had already explained that I planned to join but he wouldn't stop the full court press of selling which I didnt like at all. I wanted to use my weeks free pass THEN join. He wanted me to give him money right then and there when he hadnt so much as given me a tour yet! Anyway, I told him I wanted to wait and then he starts asking when I get paid, is it a money situation, etc..if made me VERY uncomfortable.

 I went ahead with the training session and he knew in advance that Im not inactive but going to the gym is not something Ive done on a consistent basis in a very long time. Now I enjoyed the workout but from what others have told me..he pushed me way to hard for my first time out of the gate. My arms weren't sore, I know sore, Im okay with sore but they became weak for FIVE days, that I had trouble sleeping they had that irritable and restless feeling, and it hurt to use a freakin' date stamp at work! 

But the reason Im not going back..I was surfing them online and saw how easy it was to sign up online so I did. That way I wouldnt have to worry about remembering voided checks etc.  Well I called Adam to let him know and he went off on me.. just short of yelling. ""Great, now I lose the commission the gym loses the points.. you can understand why Im upset right."" and he went on for about 5 minutes. I was stunned at how unprofessional he was and he's the GM??? If they work on commission they should give you a heads up ""hey I know its easy to sign up online but we work on commission so I would appreciate it if you went through me if and when you choose to sign up"". I would have respected that. OR if when you sign up online it allows you to put in the name of the person you have been working with so it doesn't circumvent them. But I was floored and pissed that he came at me like that. 

Ps. Of all the Pure Fitness this one is the smallest, visually unappealing and has the worst customer service. I did sign up and I love the one I go to now...but this one I will never step foot in again",review,g6rlp5No6GjEDXkrjvg1kQ,2,5,2
2084,SYHatptm7gpcmYjW1d-o5A,2011-12-30,SmEXyv2RXZHQsLVjfh0jkw,1,"Easily the worst ""burrito"" I have ever had.
It amazes my that anyone would choose to eat at this chain. I bet the rations they serve from the back of UN trucks to refugees is better.",review,0rI5H6cZ3sUt3llaOqLJkg,0,1,0
2091,uPRz5JI11QQpwgNnSZZzaQ,2011-01-24,hIKce9nWq7VuZ_z7JpD3lw,2,Highest gas  prices in the valley!,review,d6y3GGhsQ7sJQf49u02hLQ,0,1,0
2094,c0iszTWZwYtO3TgBx0Z0fQ,2011-09-11,xbboe-eF8p2iu5xOppdj9w,2,I agree with the other guys. The towels here are gross. Staff is not helpful. When i checked in there was no vehicles in parking lot. When I asked for a room I could park in front of because I wanted to be able to keep an eye on my truck they said none were available to me. If you don't get much business maybe you should be nice to the people who do show up.,review,h3aJjV87gtjgVvxiopsrjw,1,1,0
2098,nDdfN6onfb0JoxKKYwCnjA,2009-06-19,RK1zTs73vTwlS0tmpKSJmA,2,"The rap on Starbucks is that they ""over-roast"" or ""incinerate"" their beans.

And I think that might be right...sometimes at Starbucks, it seems like I'm drinking something brewed from charcoal briquettes...it doesn't taste good:(

Now, I will tell you that I am really no connoisseur of coffees...I like coffee, you know...a good dark roast, made with freshly roasted beans:)

But the beans don't have to come from a specific plant , grown on the southern side of a special hill in Columbia and then eaten and pooped out by a badger of some sort.

No, I just want a decent cup of coffee at a decent price:)

Why can't Starbucks do that?

I occasionally need to meet someone for business, and Starbucks comes up as meeting place (and I understand that...they are almost annoyingly ubiquitous:)

I have sat at a cafe table on a street corner in San Francisco, having a cup of coffee at a Starbucks...looking at the Starbucks across the street...Lewis Black calls it ""the place where space and time folds in on itself""...I say ""why build the Hadron Super Collider to open a black hole?""...Starbucks did it a decade ago with a combination of charred coffee beans and vats of money to open a Starbucks for every adult in the United States:)

In and of itself, that's no reason for a 2 star review...Gordon Gecko said it best...""Greed is Good!"" and Starbucks exemplifies that credo...they are a generally very successful corporation grown up from the Bay area defectors from Peet's Coffee...I have no problem with success:)

No, my gripe with Starbucks is that they seem to be all about the marketing and not about the product...their coffee is crap:) So is most of the stuff they serve...it's second or third rate, at best.

And just because it's convenient doesn't mean we all need to stop in.

There is better coffee and better tea and better everything around...at much better prices...it's worth looking for another meeting spot:)",review,du6KeE54IFbPiXpU3LOd1g,8,9,7
2100,53YGfwmbW73JhFiemNeyzQ,2011-12-10,ncIrgCWBN8Emik4mtdoWPw,1,"Refused to give water to young teen & referred her to PF Changs.  Olive & Ivy handled this poorly, unprofessionally & pathetically. 

PF Changs didn't even hesitate to give her the water.  That's why I ate there instead.",review,TN6ZI_NNUw8OAvODoxTKCg,0,1,2
2113,JW6fDZOuUKtJyZGeldh0xA,2009-10-14,uIayR5rIp73fB_1k01s6Qg,2,"I'm always searching for quality food at a fair price for lunch.  There are tons of sit down expensive lunch places and lots of fast food (junk food) places too.  When I read the reviews on Chestnut Lane I hustled right on over.  The concept is right on but the execution leaves a LOT to be desired.  

First challenge is getting a parking place and I was lucky.  The line to order didn't look too bad when I arrived so i was feeling lucky.  However, the line took forever to move forward causing the people waiting to shuffle back and forth in a very confined space as there was lots of foot traffic trying to enter and exit.  The woman at the register took each order, processed the payment, and then proceeded to prepare the drinks  and sides for each order.  The drinks are somewhat specialty items and are kind of labor intensive, especially considering that the order line is at a total standstill.  SLOW!  After way too long a wait, I finally was able to order...then the real wait began!  It was a good 25 minutes before my order came up and it was just a TURKEY SANDWICH!  I felt lucky, though, as the woman ahead of me in line was still waiting for her SANDWICH after I had finished mine and was driving away!

Sometimes a long wait is mitigated by the awesomeness of the food.  Well, at Chestnut Lane this is unfortunately not the case.  I mean it was a decent turkey sandwich, but when I saw the almost $16 charge for a TURKEY SANDWICH and ICED TEA I was expecting something fabulous.  It wasn't all that.  

If you decide to go to Chestnut Lane, maybe you could park in the spacious Jack-in-the Box lot just to the east.  And grab a Breakfast Jack to hold you over during your long wait!",review,qNANO9sFNVPMPfuogtBZXg,2,2,2
2116,8SjO3b-87uN2jXVXYNn47g,2012-07-25,PsfM9FGL96Ac7TWXUvzAtA,2,"I got a quick to go Asian Salad.  Read the ingredients, no bell peppers (i'm allergic.)  Awesome.  Run like Oj to terminal B to catch my connecting and sit down to eat.  There were at least 15 slices of red bell pepper that i had to pick out.  This usually does the trick.  I guess since it was packaged, it tainted the rest of the salad.  Yep.  Instant allergic reaction.  Would not have wanted to sit next to me on the plane.

It was tasty fresh and fast.  Please check your labels, Blanco.  Spare me and others that might be allergic to unlisted ingredients.",review,QRJ4DiRAWQ0kbJV6yLT8WQ,0,1,0
2120,5kRug3bEienrpovtPRVVwg,2011-10-30,LWob6jdkvZa_aGsifYQLEw,2,I was expecting more since there are so many 5 star reviews on yelp. Three friends and I tried Rokerij for the first time on Saturday. We had a reservation for 6:30. The specials are on a blackboard above your head behind you if you are seated in the booths. You have the practically get out to read them. The paper menus have a lot of abbreviations so you have to keep remembering what the letters mean. I don't want to work that hard. Can't you just spell out the words? I ordered the surf and turf from the Richardson's side of the menu. What was delivered was an unappetizing mess. The plate and everything on it was covered in a chili sauce. It looked like dog food with a piece of steak in the middle. Really it was a terrible presentation. My husband's plate looked the same. The other two at our table ordered from the Rokerij side and at least it looked a lot better. The two bacon wrapped shrimp were flavorful and my steak was over cooked for medium but OK. I could have skipped the messy beans or at least they could put them in a cup. I may try them again but just for happy hour and I'll keep the Rokerij side of the menu.,review,28i9BnGOUpL4z4HJC18gfg,0,1,2
2134,PZv6SPORD9ivj4jwKvGgjQ,2012-10-28,VCyJyiitF6UjJIIeaTuuuQ,2,"This is a some what conflicted review.  Again, I wish Yelp would allow us to review multiple things. The staff was extremely friendly (maybe a tad too talkative), the location was nice and clean.  The food LOOKED great.

The pizza just wasn't that good. It's just way too sweet. And when I say sweet,  it's so extreme that it overshadows anything else about their pizza.  It's so different in taste, it makes it seem like the wrong sauce was used. (I know it wasn't)

If you don't like sweet sauce, then order something else as their was nothing else remotely wrong with the rest of my dinner. It's just I've had about 1000 other better pizzas.",review,cXZFEVY_mEb0Itn9fyxN5A,0,0,0
2138,-sAoGZTnFtDZUY9JYWHqlg,2012-10-10,rR3hTIr3wxCLZ8FzU9Keng,2,"Well what can i say, if you like a club atmosphere and girls have naked walking around at night  this is your type of place.  It felt to me like this hotel was trying to be a hotel that you would find in vegas.  the rooms are overpriced, there is no storage in them and they give you like 5 hangers total.  The water here is awful so dont drink it.  The pool area is nice, and the room service is very quick.  So those aspects of this hotel are nice.  I am not sure i would spend 300 buks to stay here though again.  I am not really into the party scene but if you are this might be your kind of place.  Id rather be at a pub bar or sports bar personally but to each their own!",review,Ajrx5XuFoBqZk3HKAm76-w,0,1,0
2154,cT_rocMh92B9t62Disp6gA,2012-03-05,9d2yxnG3UQf8RuSxqEdz3Q,1,"We found a bandaid with the panang.  We ordered panang with chicken, not panang with bandaid. 

When we told the waiter, he argued that it wasn't a bandaid.  I'm sorry, there's no mistaking a bandaid!  The icing on the cake was that they charged us for it!!!

If you like bandaid on your dish, this I the place to go!

Too bad yelp doesn't allow 0 stars. This place definitely was a ZERO.",review,HKZkXR96W6UgAexpX-cKFQ,0,0,0
2162,fdhydw4SV3rSjq06IL9LVA,2012-03-15,x2QYZVAWKCx3VPvBtmiBTA,1,"After looking for a car wash & vacuum in the area I selectioned Francis & Sons. I checkeed thier priced on thier website, but when I got thier the price they wanted to charge was much more, they kept trying to sell an upholstery cleaning, and then said I don't take care of my care so there would be an additional $20 to clean the black plastic exterior pieces. I only wanted a qhick exterior  clean and vacuum. They refused to honor thier website pricing and insisted that what I read on thier website was not on there. Needless to say I didn't get my car washed there. I would highly recommend AVOIDING these crooks.",review,394ECIL6M0w8S-nJypi7Kg,0,4,0
2169,7U8TYNW4Mvx6m3zexsO0sg,2008-05-16,_7DelOvcAaPrP-eUXIt-Cw,2,"I know this place has been around forever and is well established in the Valley. But I think its about time for some CPR! Everything about this place inside and out screams old school...all the way down to the service staff's uniforms! Ummmm...has anyone else noticed that this place used to be their parent's old stomping grounds? That's cool but how but making it inviting for the 30-40 yr old crowd? 

I had prime rib that was barely warm and I swear had the flavor of a dry piece of toast! The most bland Prime I've ever had. The ""fresh"" horseradish I requested on the side was even bland. My friend had the buffalo meatloaf (half buffalo/half ground sirloin). Now that my Dear Reader was a home run! Tender and full of flavor! 
The ribs were decent and the ""baseball"" fillet was par at best also. 

We went on a Friday night and were 4 of perhaps 20 other people in this huge place! The website reads like its scrumptous. When in fact, the experience was more like waiting in line at the new hot club only to find no one inside! 

Oh....the only redemption was the desert. Pecan pie and their citrus creme brulee....Both make you rub your belly!!!

Bon Appetite!",review,4IxLt4QvCsJEdaNvH9QApw,0,1,1
2175,x3ws2L-TlI-JPcEQjjEC9g,2012-02-28,KMixZiFAIsgbFtfCDxJttQ,1,"This has to be the worst restaurant in terms of hygiene. Two of my friends had food -poisoning after having dinner here. The food is just unhealthy with tons of oil floating on the top of curries, and I am not sure if any health/hygiene code is followed here. 
The service is poor and the information on its website is incorrect, the owner does not allow dine-in after 9 or 10 even though it says that the restaurant is open till 11. 

One night I saw the owner cleaning the place without gloves and she was nice enough to give us a to-go parcel without cleaning her hands (great example to the servers!). I had a peek inside the kitchen when the door was ajar, and it definitely looked dirty.

I have been a lot of hole-in-the-wall places around this restaurant, including Haji Baba, the Vietnamese place and others, but neither any of my friends nor I have fallen sick coz of the food. If you need a spicy-food fix, i strongly recommend you do not try this place, lest you want a visit to the doctor the very next day.",review,77UjgOU5vayzFUCFUhykgQ,0,4,1
